id,group_id,condition_id,type_id,invocation_rate
1,1,1,1,0
2,2,2,1,0
3,3,3,1,0
4,4,4,1,0
5,5,5,1,30
6,6,6,1,30
7,7,7,1,30
8,8,8,1,30
9,9,9,1,30
10,10,10,1,30
11,11,11,1,30
12,12,12,1,30
13,13,13,1,0
14,13,57,1,0
15,14,14,1,0
16,14,58,1,0
17,15,15,1,0
18,15,59,1,0
19,16,16,1,0
20,17,17,1,10
21,18,18,1,30
22,19,19,1,0
23,20,20,1,0
24,21,21,1,0
25,22,22,1,30
26,23,23,1,0
27,24,24,1,0
28,25,25,1,0
29,26,26,1,0
30,27,27,1,0
31,28,28,1,0
32,29,29,1,0
33,30,30,1,0
34,31,31,1,0
35,32,32,1,0
36,33,33,1,0
37,34,34,1,0
38,35,35,1,0
39,36,36,1,0
40,37,36,1,0
41,38,36,1,0
42,39,36,1,0
43,40,5,1,0
44,40,6,1,0
45,40,9,1,0
46,40,10,1,0
47,40,13,1,0
48,40,14,1,0
49,40,57,1,0
50,40,58,1,0
52,41,5,1,0
53,41,6,1,0
54,41,9,1,0
55,41,10,1,0
56,41,11,1,0
57,41,13,1,0
58,41,14,1,0
59,41,57,1,0
60,41,58,1,0
62,42,5,1,0
63,42,6,1,0
64,42,8,1,0
65,42,9,1,0
66,42,11,1,0
67,42,14,1,0
68,42,15,1,0
69,42,17,1,0
70,42,18,1,0
71,42,21,1,0
72,42,58,1,0
73,42,59,1,0
75,43,6,1,0
76,43,7,1,0
77,43,8,1,0
78,43,9,1,0
79,43,11,1,0
80,43,12,1,0
81,43,13,1,0
82,43,14,1,0
83,43,15,1,0
84,43,57,1,0
85,43,58,1,0
86,43,59,1,0
87,44,6,1,0
88,44,8,1,0
89,44,9,1,0
90,44,11,1,0
91,44,12,1,0
92,44,13,1,0
93,44,14,1,0
94,44,15,1,0
95,44,57,1,0
96,44,58,1,0
97,44,59,1,0
98,45,5,1,0
99,45,6,1,0
100,45,8,1,0
101,45,9,1,0
102,45,11,1,0
103,45,12,1,0
104,45,13,1,0
105,45,14,1,0
106,45,15,1,0
107,45,17,1,0
108,45,18,1,0
109,45,21,1,0
110,45,57,1,0
111,45,58,1,0
112,45,59,1,0
114,46,5,1,0
115,46,6,1,0
116,46,7,1,0
117,46,8,1,0
118,46,9,1,0
119,46,11,1,0
120,46,12,1,0
121,46,13,1,0
122,46,14,1,0
123,46,15,1,0
124,46,17,1,0
125,46,18,1,0
126,46,21,1,0
127,46,57,1,0
128,46,58,1,0
129,46,59,1,0
131,47,5,1,0
132,47,6,1,0
133,47,7,1,0
134,47,8,1,0
135,47,9,1,0
136,47,11,1,0
137,47,12,1,0
138,47,13,1,0
139,47,14,1,0
140,47,15,1,0
141,47,17,1,0
142,47,18,1,0
143,47,21,1,0
144,47,22,1,0
145,47,57,1,0
146,47,58,1,0
147,47,59,1,0
149,48,6,1,0
150,48,7,1,0
151,48,8,1,0
152,48,9,1,0
153,48,10,1,0
154,48,12,1,0
155,48,13,1,0
156,48,14,1,0
157,48,15,1,0
158,48,57,1,0
159,48,58,1,0
160,48,59,1,0
161,49,6,1,0
162,49,7,1,0
163,49,8,1,0
164,49,9,1,0
165,49,10,1,0
166,49,11,1,0
167,49,12,1,0
168,49,13,1,0
169,49,14,1,0
170,49,15,1,0
171,49,17,1,0
172,49,18,1,0
173,49,21,1,0
174,49,22,1,0
175,49,30,1,0
176,49,42,1,0
177,49,43,1,0
178,49,44,1,0
179,49,57,1,0
180,49,58,1,0
181,49,59,1,0
182,50,5,1,0
183,50,6,1,0
184,50,7,1,0
185,50,8,1,0
186,50,9,1,0
187,50,10,1,0
188,50,11,1,0
189,50,13,1,0
190,50,14,1,0
191,50,15,1,0
192,50,57,1,0
193,50,58,1,0
194,50,59,1,0
196,51,5,1,0
197,51,6,1,0
198,51,7,1,0
199,51,8,1,0
200,51,9,1,0
201,51,10,1,0
202,51,11,1,0
203,51,12,1,0
204,51,13,1,0
205,51,14,1,0
206,51,15,1,0
207,51,57,1,0
208,51,58,1,0
209,51,59,1,0
211,52,5,1,0
212,52,6,1,0
213,52,7,1,0
214,52,8,1,0
215,52,9,1,0
216,52,10,1,0
217,52,13,1,0
218,52,14,1,0
219,52,15,1,0
220,52,18,1,0
221,52,21,1,0
222,52,22,1,0
223,52,57,1,0
224,52,58,1,0
225,52,59,1,0
227,53,5,1,0
228,53,6,1,0
229,53,7,1,0
230,53,8,1,0
231,53,9,1,0
232,53,10,1,0
233,53,12,1,0
234,53,13,1,0
235,53,14,1,0
236,53,15,1,0
237,53,18,1,0
238,53,21,1,0
239,53,22,1,0
240,53,57,1,0
241,53,58,1,0
242,53,59,1,0
244,54,5,1,0
245,54,6,1,0
246,54,7,1,0
247,54,8,1,0
248,54,9,1,0
249,54,10,1,0
250,54,11,1,0
251,54,12,1,0
252,54,13,1,0
253,54,14,1,0
254,54,15,1,0
255,54,17,1,0
256,54,18,1,0
257,54,57,1,0
258,54,58,1,0
259,54,59,1,0
261,55,5,1,0
262,55,6,1,0
263,55,7,1,0
264,55,8,1,0
265,55,9,1,0
266,55,10,1,0
267,55,11,1,0
268,55,12,1,0
269,55,13,1,0
270,55,14,1,0
271,55,15,1,0
272,55,17,1,0
273,55,18,1,0
274,55,21,1,0
275,55,57,1,0
276,55,58,1,0
277,55,59,1,0
279,56,5,1,0
280,56,6,1,0
281,56,7,1,0
282,56,8,1,0
283,56,9,1,0
284,56,10,1,0
285,56,12,1,0
286,56,13,1,0
287,56,14,1,0
288,56,15,1,0
289,56,17,1,0
290,56,18,1,0
291,56,21,1,0
292,56,22,1,0
293,56,57,1,0
294,56,58,1,0
295,56,59,1,0
297,57,5,1,0
298,57,6,1,0
299,57,7,1,0
300,57,8,1,0
301,57,9,1,0
302,57,10,1,0
303,57,11,1,0
304,57,12,1,0
305,57,13,1,0
306,57,14,1,0
307,57,15,1,0
308,57,17,1,0
309,57,18,1,0
310,57,21,1,0
311,57,22,1,0
312,57,57,1,0
313,57,58,1,0
314,57,59,1,0
316,58,7,1,0
317,58,8,1,0
318,59,7,1,0
319,59,8,1,0
320,59,13,1,0
321,59,15,1,0
322,59,57,1,0
323,59,59,1,0
324,60,5,1,0
325,60,7,1,0
326,60,8,1,0
327,60,13,1,0
328,60,14,1,0
329,60,15,1,0
330,60,57,1,0
331,60,58,1,0
332,60,59,1,0
334,61,7,1,0
335,61,8,1,0
336,61,13,1,0
337,61,14,1,0
338,61,15,1,0
339,61,22,1,0
340,61,57,1,0
341,61,58,1,0
342,61,59,1,0
343,62,5,1,0
344,62,7,1,0
345,62,8,1,0
346,62,9,1,0
347,62,10,1,0
348,62,11,1,0
349,62,17,1,0
351,63,5,1,0
352,63,7,1,0
353,63,8,1,0
354,63,10,1,0
355,63,13,1,0
356,63,14,1,0
357,63,15,1,0
358,63,57,1,0
359,63,58,1,0
360,63,59,1,0
362,64,5,1,0
363,64,7,1,0
364,64,8,1,0
366,65,7,1,0
367,65,9,1,0
368,65,13,1,0
369,65,15,1,0
370,65,57,1,0
371,65,59,1,0
372,66,5,1,0
373,66,7,1,0
374,66,9,1,0
375,66,13,1,0
376,66,14,1,0
377,66,15,1,0
378,66,57,1,0
379,66,58,1,0
380,66,59,1,0
382,67,7,1,0
383,67,13,1,0
384,67,14,1,0
385,67,15,1,0
386,67,57,1,0
387,67,58,1,0
388,67,59,1,0
389,68,5,1,0
390,68,8,1,0
391,68,10,1,0
393,69,9,1,0
394,69,13,1,0
395,69,14,1,0
396,69,15,1,0
397,69,57,1,0
398,69,58,1,0
399,69,59,1,0
400,70,10,1,0
401,70,13,1,0
402,70,14,1,0
403,70,15,1,0
404,70,57,1,0
405,70,58,1,0
406,70,59,1,0
407,71,13,1,0
408,71,14,1,0
409,71,57,1,0
410,71,58,1,0
411,72,13,1,0
412,72,14,1,0
413,72,15,1,0
414,72,57,1,0
415,72,58,1,0
416,72,59,1,0
417,73,13,1,0
418,73,15,1,0
419,73,57,1,0
420,73,59,1,0
421,74,5,1,0
422,74,13,1,0
423,74,15,1,0
424,74,57,1,0
425,74,59,1,0
427,75,14,1,0
428,75,15,1,0
429,75,58,1,0
430,75,59,1,0
431,76,6,1,0
432,76,7,1,0
433,76,8,1,0
434,76,9,1,0
435,76,10,1,0
436,76,11,1,0
437,76,12,1,0
438,76,13,1,0
439,76,14,1,0
440,76,15,1,0
441,76,17,1,0
442,76,18,1,0
443,76,57,1,0
444,76,58,1,0
445,76,59,1,0
446,77,19,1,0
447,77,22,1,0
448,77,23,1,0
449,77,25,1,0
450,77,26,1,0
451,77,27,1,0
452,77,28,1,0
453,77,29,1,0
454,77,35,1,0
455,78,6,1,33
456,78,8,1,33
457,78,18,1,33
458,79,6,1,0
459,79,9,1,0
460,79,12,1,0
461,79,57,1,0
462,79,58,1,0
463,79,59,1,0
464,80,6,1,0
465,80,7,1,0
466,80,9,1,0
467,80,10,1,0
468,81,8,1,0
469,81,19,1,0
470,82,11,1,0
471,82,17,1,0
472,83,5,1,0
473,83,6,1,0
474,83,7,1,0
475,83,8,1,0
476,83,9,1,0
477,83,10,1,0
478,83,11,1,0
479,83,12,1,0
480,83,13,1,0
481,83,14,1,0
482,83,15,1,0
483,83,17,1,0
484,83,18,1,0
485,83,22,1,0
486,83,57,1,0
487,83,58,1,0
