id,sort_id,type_id,category_type,attribute_id,attribute_group_id,equip_job_group_id,parts_group_id,attack,weight,accuracy_rate,evasion_rate,ability_disturbed_rate,destroy_rate,magnetic_force,throw_flag,back_flag,two_handed_flag,invalid_reflection,trigger_ability_id,wear_function_group_id,wear_condition_group_id,weak_attribute,effective_species,additional_condition_group_id,strength,vitality,agility,intelligence,spirit,magic,critical_rate,max_hp_up,max_mp_up,battle_equipment_asset_id,battle_effect_asset_id,guard_icon,buy,sell,sales_not_possible,process_prog
1,1,2,43,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,77,0,1,1,0,None
2,39,1,2,4,104,1,1,10,2,80,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,34,138,0,28,14,0,None
3,47,1,2,4,104,1,1,20,2,85,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,35,138,0,48,24,0,None
4,53,1,2,4,104,1,1,30,2,90,0,0,0,1,0,0,0,0,0,0,0,36,0,5,5,5,5,5,-5,0,0,0,0,36,139,0,80,40,0,None
5,62,1,3,5,105,5,1,40,2,99,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,25,61,0,160,80,0,None
6,92,1,3,5,105,5,1,99,2,99,0,0,0,1,1,0,0,0,0,0,0,37,0,0,3,0,0,0,3,0,0,0,0,25,61,0,1680,840,0,None
7,96,1,3,5,105,5,1,160,2,99,0,0,0,1,1,0,0,0,0,0,0,37,0,0,10,0,0,0,0,0,0,0,0,30,66,0,3200,1600,0,None
8,97,1,3,5,105,5,1,200,2,99,0,0,0,1,0,0,0,0,0,0,0,37,4,0,15,15,0,0,15,0,0,0,0,26,149,0,400,200,0,None
9,57,1,1,0,0,11,1,35,2,77,0,0,0,1,1,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,32,61,0,760,380,0,None
10,64,1,1,0,0,11,1,45,2,50,0,0,0,1,1,0,0,0,0,186,0,0,18,0,-5,-5,-5,-5,-5,0,0,0,0,31,60,0,520,260,0,None
11,70,1,1,0,0,11,1,50,2,80,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,133,0,240,120,0,None
12,74,1,1,0,0,11,1,55,2,77,0,0,0,1,1,0,0,0,42,0,0,0,0,7,0,0,0,0,0,0,0,0,0,30,61,0,1040,520,0,None
13,79,1,1,1,101,11,1,65,2,80,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,28,58,0,560,280,0,None
14,82,1,1,2,102,11,1,75,2,80,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,29,59,0,1040,520,0,None
15,83,1,1,0,0,11,1,77,2,66,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,33,61,0,1360,680,0,None
16,86,1,1,0,0,11,1,80,2,95,0,0,0,1,1,0,1,0,0,0,114,0,0,0,10,10,10,-10,-10,0,0,0,0,30,61,0,600,300,0,None
17,94,1,1,0,0,11,1,105,2,90,0,0,0,1,1,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,30,61,0,2280,1140,0,None
22,37,1,6,0,0,21,1,9,2,99,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,62,152,0,2,1,0,None
23,75,1,6,0,0,21,1,55,2,80,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,63,151,0,280,140,0,None
24,81,1,6,1,101,21,1,66,2,80,0,0,0,1,0,0,0,0,34,0,0,39,0,0,0,0,0,0,0,0,0,0,0,64,152,0,440,220,0,None
25,84,1,6,2,102,21,1,77,2,80,0,0,0,1,0,0,0,0,37,0,0,40,0,0,0,0,0,0,0,0,0,0,0,65,152,0,840,420,0,None
26,88,1,6,0,0,21,1,88,2,22,0,0,0,1,1,0,0,0,0,186,0,0,18,0,-10,-10,-10,-10,-10,0,0,0,0,67,151,0,260,130,0,None
27,89,1,6,0,0,21,1,92,2,80,0,0,0,1,1,0,0,0,0,0,0,38,0,0,0,15,0,0,0,0,0,0,0,68,151,0,4000,2000,0,None
