SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) & (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Mutter von (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Frau von (YANG)
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	König von Eblan
SPEAKER_21	Königin von Eblan
SPEAKER_23	Cagnazzo
SPEAKER_24	Hauptmann
SPEAKER_25	Korio
SPEAKER_26	Golbez
SPEAKER_27	Sahagin
SPEAKER_28	Hofmeister
SPEAKER_29	General
SPEAKER_30	Giott
SPEAKER_32	Sylphe
SPEAKER_33	Scarmiglione
SPEAKER_34	Zemus
SPEAKER_35	Zeromus
SPEAKER_36	Dunkelelf
SPEAKER_37	Sumpfhexe
SPEAKER_38	Dug
SPEAKER_39	Zwerg
SPEAKER_41	Zwergenkönig
SPEAKER_42	Namingway
SPEAKER_43	Barnabas
SPEAKER_44	Barbarizia
SPEAKER_45	König von Baron
SPEAKER_46	König von Fabul
SPEAKER_47	Baigan
SPEAKER_48	Mug
SPEAKER_49	Schwestern
SPEAKER_50	Mönch
SPEAKER_51	Rug
SPEAKER_52	Leviathan
SPEAKER_53	Luca
SPEAKER_54	Dr. Lugae
SPEAKER_55	Dr. Lugae
SPEAKER_56	Rubicante
SPEAKER_59	Alle
SPEAKER_60	Wache
SPEAKER_61	Barde
SPEAKER_62	Ehemaliger König
SPEAKER_63	Bestienkind
SPEAKER_64	König der Beschwörbaren
SPEAKER_65	Gott der Beschwörbaren
SPEAKER_66	Frau
SPEAKER_68	Mädchen
SPEAKER_69	Geistliche
SPEAKER_70	Seemann
SPEAKER_71	Besatzung
SPEAKER_72	Kapitän
SPEAKER_73	Mann
SPEAKER_74	Junge
SPEAKER_75	Ältester
SPEAKER_76	Besatzungsmitglieder
SPEAKER_77	Besatzungsmitglied
SPEAKER_80	Alter Mann
E0001_01_342_a_01	Käpt’n, wir werden bald in Baron landen.
E0001_01_342_a_02	... Sehr gut.
E0001_01_342_a_03	Der Käpt’n sieht müde aus.
