SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) & (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	(ROZA)'s Mother
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	(YANG)'s Wife
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	King of Eblan
SPEAKER_21	Queen of Eblan
SPEAKER_23	Cagnazzo
SPEAKER_24	Captain
SPEAKER_25	Corio
SPEAKER_26	Golbez
SPEAKER_27	Sahagin
SPEAKER_28	Gramps
SPEAKER_29	General
SPEAKER_30	Giott
SPEAKER_32	Sylph
SPEAKER_33	Scarmiglione
SPEAKER_34	Zemus
SPEAKER_35	Zeromus
SPEAKER_36	Dark Elf
SPEAKER_37	Bog Witch
SPEAKER_38	Sandy
SPEAKER_39	Dwarf
SPEAKER_41	Dwarf King
SPEAKER_42	Namingway
SPEAKER_43	Barnabas
SPEAKER_44	Barbariccia
SPEAKER_45	King of Baron
SPEAKER_46	King of Fabul
SPEAKER_47	Baigan
SPEAKER_48	Cindy
SPEAKER_49	Magus Sisters
SPEAKER_50	Monk
SPEAKER_51	Mindy
SPEAKER_52	Leviathan
SPEAKER_53	Luca
SPEAKER_54	Lugae
SPEAKER_55	Dr. Lugae
SPEAKER_56	Rubicante
SPEAKER_59	All
SPEAKER_60	Guard
SPEAKER_61	Bard
SPEAKER_62	Former King
SPEAKER_63	Beast Child
SPEAKER_64	King of Summons
SPEAKER_65	God of Summons
SPEAKER_66	Woman
SPEAKER_68	Girl
SPEAKER_69	Cleric
SPEAKER_70	Sailor
SPEAKER_71	Crew
SPEAKER_72	Captain
SPEAKER_73	Man
SPEAKER_74	Boy
SPEAKER_75	Elder
SPEAKER_76	Crew
SPEAKER_77	Crewman
SPEAKER_80	Old Man
E0001_01_342_a_01	Captain, we will arrive at Baron shortly.
E0001_01_342_a_02	...Very well.
E0001_01_342_a_03	The captain seems kinda down.
E0001_01_342_a_04	After what we did, who wouldn't be?<P>\nOrders are orders, but killing innocent people to get the Crystals isn't right.
