SPEAKER_01	¿?
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) y (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Madre de (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Mujer de (YANG)
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	Rey de Eblan
SPEAKER_21	Reina de Eblan
SPEAKER_23	Cagnazzo
SPEAKER_24	Capitán
SPEAKER_25	Corio
SPEAKER_26	Golbez
SPEAKER_27	Gurami
SPEAKER_28	Abuelo
SPEAKER_29	General
SPEAKER_30	Giott
SPEAKER_32	Sílfide
SPEAKER_33	Scarmiglione
SPEAKER_34	Zemus
SPEAKER_35	Zeromus
SPEAKER_36	Elfo oscuro
SPEAKER_37	Bruja maldita
SPEAKER_38	Sandy
SPEAKER_39	Enano
SPEAKER_41	Rey enano
SPEAKER_42	Don Registro
SPEAKER_43	Barnabás
SPEAKER_44	Barbariccia
SPEAKER_45	Rey de Baronia
SPEAKER_46	Rey de Fabul
SPEAKER_47	Baigan
SPEAKER_48	Cindy
SPEAKER_49	Hermanas Magus
SPEAKER_50	Monje
SPEAKER_51	Mindy
SPEAKER_52	Leviatán
SPEAKER_53	Luca
SPEAKER_54	Lugae
SPEAKER_55	Dr. Lugae
SPEAKER_56	Rubicante
SPEAKER_59	Todos
SPEAKER_60	Guardia
SPEAKER_61	Bardo
SPEAKER_62	Antiguo rey
SPEAKER_63	Niño bestia
SPEAKER_64	Rey eidolón
SPEAKER_65	Dios eidolón
SPEAKER_66	Mujer
SPEAKER_68	Niña
SPEAKER_69	Devota
SPEAKER_70	Marino
SPEAKER_71	Marineros
SPEAKER_72	Capitán
SPEAKER_73	Hombre
SPEAKER_74	Niño
SPEAKER_75	Maestro
SPEAKER_76	Tripulación
SPEAKER_77	Soldado
SPEAKER_80	Anciano
E0001_01_342_a_01	Estamos llegando a Baronia, mi capitán.
E0001_01_342_a_02	Muy bien...
E0001_01_342_a_03	El capitán no parece contento.
