SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) et (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Mère de (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Épouse de (YANG)
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	Roi d'Éblana
SPEAKER_21	Reine d'Éblana
SPEAKER_23	Cagnazzo
SPEAKER_24	Capitaine
SPEAKER_25	Corio
SPEAKER_26	Golbez
SPEAKER_27	Sahuagin
SPEAKER_28	Sénéchal
SPEAKER_29	Général
SPEAKER_30	Giotto
SPEAKER_32	Sylphide
SPEAKER_33	Scarmiglione
SPEAKER_34	Zémus
SPEAKER_35	Zéromus
SPEAKER_36	Elfe noir
SPEAKER_37	Sorcière du marais
SPEAKER_38	Samanta
SPEAKER_39	Nain
SPEAKER_41	Roi des nains
SPEAKER_42	Namingway
SPEAKER_43	Barnabas
SPEAKER_44	Barbariccia
SPEAKER_45	Roi de Baron
SPEAKER_46	Roi de Fabul
SPEAKER_47	Baigan
SPEAKER_48	Maria
SPEAKER_49	Sœurs Magus
SPEAKER_50	Moine
SPEAKER_51	Anabella
SPEAKER_52	Léviathan
SPEAKER_53	Luca
SPEAKER_54	Lugae
SPEAKER_55	Docteur Lugae
SPEAKER_56	Rubicante
SPEAKER_59	Guerriers d'Éblana
SPEAKER_60	Garde
SPEAKER_61	Barde
SPEAKER_62	Ancien roi
SPEAKER_63	Jeune éon
SPEAKER_64	Roi des éons
SPEAKER_65	Dieu des éons
SPEAKER_66	Femme
SPEAKER_68	Fillette
SPEAKER_69	Prêtresse
SPEAKER_70	Matelot
SPEAKER_71	Équipage
SPEAKER_72	Capitaine
SPEAKER_73	Jeune homme
SPEAKER_74	Garçon
SPEAKER_75	Ancien
SPEAKER_76	Assistants
SPEAKER_77	Soldat
SPEAKER_80	Vieil homme
E0001_01_342_a_01	Capitaine, nous arriverons bientôt aux frontières de Baron !
E0001_01_342_a_02	...\nTrès bien.
E0001_01_342_a_03	La situation l'inquiète, lui aussi.
