SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) e (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Madre di (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Moglie di (YANG)
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	Re di Eblan
SPEAKER_21	Regina di Eblan
SPEAKER_23	Cagnazzo
SPEAKER_24	Capitano
SPEAKER_25	Corio
SPEAKER_26	Golbez
SPEAKER_27	Sahagin
SPEAKER_28	Nonnetto
SPEAKER_29	Generale
SPEAKER_30	Giott
SPEAKER_32	Silfide
SPEAKER_33	Scarmiglione
SPEAKER_34	Zemus
SPEAKER_35	Zeromus
SPEAKER_36	Elfo oscuro
SPEAKER_37	Strega ranocchia
SPEAKER_38	Sandy
SPEAKER_39	Nano
SPEAKER_41	Re dei nani
SPEAKER_42	Namingway
SPEAKER_43	Barnaba
SPEAKER_44	Barbariccia
SPEAKER_45	Re di Baron
SPEAKER_46	Re di Fabul
SPEAKER_47	Baigan
SPEAKER_48	Cindy
SPEAKER_49	Sorelle Magus
SPEAKER_50	Monaco
SPEAKER_51	Mindy
SPEAKER_52	Leviatano
SPEAKER_53	Luka
SPEAKER_54	Lugae
SPEAKER_55	Professor Lugae
SPEAKER_56	Rubicante
SPEAKER_59	Tutti
SPEAKER_60	Guardia
SPEAKER_61	Bardo
SPEAKER_62	Ex re
SPEAKER_63	Cucciolo di eidolon
SPEAKER_64	Re degli eidolon
SPEAKER_65	Dio degli eidolon
SPEAKER_66	Donna
SPEAKER_68	Ragazzina
SPEAKER_69	Sacerdotessa
SPEAKER_70	Marinaio
SPEAKER_71	Ciurma
SPEAKER_72	Capitano
SPEAKER_73	Uomo
SPEAKER_74	Ragazzino
SPEAKER_75	Anziano
SPEAKER_76	Equipaggio
SPEAKER_77	Soldato
SPEAKER_80	Vecchio
E0001_01_342_a_01	Comandante (CECIL)! A breve arriveremo a Baron!
E0001_01_342_a_02	Bene...
E0001_01_342_a_03	Anche il comandante è scosso...
