SPEAKER_01	？？？？
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM)　(POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	(ROZA)の母
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	(YANG)の奥さん
SPEAKER_17	アスラ
SPEAKER_18	アンナ
SPEAKER_19	エブラーナ王
SPEAKER_21	エブラーナ王妃
SPEAKER_23	カイナッツォ
SPEAKER_24	キャプテン
SPEAKER_25	コリオ
SPEAKER_26	ゴルベーザ
SPEAKER_27	サハギン
SPEAKER_28	じい
SPEAKER_29	ジェネラル
SPEAKER_30	ジオット
SPEAKER_32	シルフ
SPEAKER_33	スカルミリョーネ
SPEAKER_34	ゼムス
SPEAKER_35	ゼロムス
SPEAKER_36	ダークエルフ
SPEAKER_37	トーディウィッチ
SPEAKER_38	ドグ
SPEAKER_39	ドワーフ
SPEAKER_41	ドワーフ王
SPEAKER_42	ネミングウェイ
SPEAKER_43	バルナバ
SPEAKER_44	バルバリシア
SPEAKER_45	バロン王
SPEAKER_46	ファブール王
SPEAKER_47	ベイガン
SPEAKER_48	マグ
SPEAKER_49	メーガス三姉妹
SPEAKER_50	モンク僧
SPEAKER_51	ラグ
SPEAKER_52	リヴァイアサン
SPEAKER_53	ルカ
SPEAKER_54	ルゲイエ
SPEAKER_55	ルゲイエ博士
SPEAKER_56	ルビカンテ
SPEAKER_59	皆の衆
SPEAKER_60	近衛兵
SPEAKER_61	吟遊詩人
SPEAKER_62	元の王
SPEAKER_63	幻獣の子供
SPEAKER_64	幻獣王
SPEAKER_65	幻獣神
SPEAKER_66	女
SPEAKER_68	女の子
SPEAKER_69	神官
SPEAKER_70	船乗り
SPEAKER_71	船乗りたち
SPEAKER_72	船長
SPEAKER_73	男
SPEAKER_74	男の子
SPEAKER_75	長老
SPEAKER_76	弟子たち
SPEAKER_77	兵士
SPEAKER_80	老人
E0001_01_342_a_01	(CECIL)隊長！\nまもなくバロンに着きます！
E0001_01_342_a_02	ああ…。
E0001_01_342_a_03	やはり、隊長も…。
