SPEAKER_01	????
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM), (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	(ROZA)의 어머니
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	(YANG)의 아내
SPEAKER_17	아슈라
SPEAKER_18	안나
SPEAKER_19	에블라나 왕
SPEAKER_21	에블라나 왕비
SPEAKER_23	카냐초
SPEAKER_24	캡틴
SPEAKER_25	코리오
SPEAKER_26	골베자
SPEAKER_27	사하긴
SPEAKER_28	영감
SPEAKER_29	제너럴
SPEAKER_30	지오트
SPEAKER_32	실프
SPEAKER_33	스카르밀리오네
SPEAKER_34	제무스
SPEAKER_35	제로무스
SPEAKER_36	다크 엘프
SPEAKER_37	토디 위치
SPEAKER_38	도그
SPEAKER_39	드워프
SPEAKER_41	드워프 왕
SPEAKER_42	네밍웨이
SPEAKER_43	바르나바
SPEAKER_44	바르바리치아
SPEAKER_45	바론 왕
SPEAKER_46	파블 왕
SPEAKER_47	베이건
SPEAKER_48	마그
SPEAKER_49	메이거스 세 자매
SPEAKER_50	몽크
SPEAKER_51	라그
SPEAKER_52	리바이어선
SPEAKER_53	루카
SPEAKER_54	르게이에
SPEAKER_55	르게이에 박사
SPEAKER_56	루비칸테
SPEAKER_59	민중
SPEAKER_60	근위병
SPEAKER_61	음유시인
SPEAKER_62	이전 왕
SPEAKER_63	환수 아이
SPEAKER_64	환수왕
SPEAKER_65	환수신
SPEAKER_66	여자
SPEAKER_68	여자아이
SPEAKER_69	신관
SPEAKER_70	뱃사람
SPEAKER_71	뱃사람들
SPEAKER_72	선장
SPEAKER_73	남자
SPEAKER_74	남자아이
SPEAKER_75	장로
SPEAKER_76	제자들
SPEAKER_77	병사
SPEAKER_80	노인
E0001_01_342_a_01	(CECIL) 대장님!\n곧 바론에 도착합니다!
E0001_01_342_a_02	알겠다.
E0001_01_342_a_03	역시 대장님도….
E0001_01_342_a_04	아무리 명령이라고는 해도,\n무고한 사람들에게서 크리스탈을 빼앗다니….
