SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) e (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Mãe da (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Esposa do (YANG)
SPEAKER_17	Asura
SPEAKER_18	Anna
SPEAKER_19	Rei de Eblan
SPEAKER_21	Rainha de Eblan
SPEAKER_23	Cagnazzo
SPEAKER_24	Capitão
SPEAKER_25	Corio
SPEAKER_26	Golbez
SPEAKER_27	Sahagin
SPEAKER_28	Vovô
SPEAKER_29	General
SPEAKER_30	Giott
SPEAKER_32	Sílfide
SPEAKER_33	Scarmiglione
SPEAKER_34	Zemus
SPEAKER_35	Zeromus
SPEAKER_36	Elfo Negro
SPEAKER_37	Bruxa do Charco
SPEAKER_38	Sandy
SPEAKER_39	Anão
SPEAKER_41	Rei dos Anões
SPEAKER_42	Nominiano
SPEAKER_43	Barnabas
SPEAKER_44	Barbariccia
SPEAKER_45	Rei de Baron
SPEAKER_46	Rei de Fabul
SPEAKER_47	Baigan
SPEAKER_48	Cindy
SPEAKER_49	Irmãs Magus
SPEAKER_50	Monge
SPEAKER_51	Mindy
SPEAKER_52	Leviatã
SPEAKER_53	Luca
SPEAKER_54	Lugae
SPEAKER_55	Dr. Lugae
SPEAKER_56	Rubicante
SPEAKER_59	Todos
SPEAKER_60	Guarda
SPEAKER_61	Bardo
SPEAKER_62	Antigo Rei
SPEAKER_63	Criança Eidolon
SPEAKER_64	Rei dos Eidolons
SPEAKER_65	Deus dos Eidolons
SPEAKER_66	Mulher
SPEAKER_68	Garota
SPEAKER_69	Sacerdotisa
SPEAKER_70	Marinheiro
SPEAKER_71	Tripulação
SPEAKER_72	Capitão
SPEAKER_73	Homem
SPEAKER_74	Garoto
SPEAKER_75	Ancião
SPEAKER_76	Tripulação
SPEAKER_77	Tripulante
SPEAKER_80	Velho
E0001_01_342_a_01	Capitão, vamos chegar a Baron em breve.
E0001_01_342_a_02	Ótimo.
E0001_01_342_a_03	O capitão parece meio cabisbaixo.
