SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) и (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	Мама ((ROZA))
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	Жена ((YANG))
SPEAKER_17	Асура
SPEAKER_18	Анна
SPEAKER_19	Король Эблана
SPEAKER_21	Королева Эблана
SPEAKER_23	Каньяццо
SPEAKER_24	Капитан
SPEAKER_25	Корио
SPEAKER_26	Голбез
SPEAKER_27	Сахагин
SPEAKER_28	Дедуля
SPEAKER_29	Генерал
SPEAKER_30	Жиотт
SPEAKER_32	Сильф
SPEAKER_33	Скармильоне
SPEAKER_34	Зимус
SPEAKER_35	Зиромус
SPEAKER_36	Темный эльф
SPEAKER_37	Болотная ведьма
SPEAKER_38	Сэнди
SPEAKER_39	Гном
SPEAKER_41	Гномий король
SPEAKER_42	Именгуэй
SPEAKER_43	Барнабас
SPEAKER_44	Барбаричча
SPEAKER_45	Король Барона
SPEAKER_46	Король Фабула
SPEAKER_47	Байган
SPEAKER_48	Синди
SPEAKER_49	Сестры Магус
SPEAKER_50	Монах
SPEAKER_51	Минди
SPEAKER_52	Левиафан
SPEAKER_53	Люка
SPEAKER_54	Лугай
SPEAKER_55	Доктор Лугай
SPEAKER_56	Рубиканте
SPEAKER_59	Все
SPEAKER_60	Стражник
SPEAKER_61	Бард
SPEAKER_62	Бывший король
SPEAKER_63	Чудовище-малыш
SPEAKER_64	Король Междумирья
SPEAKER_65	Бог Междумирья
SPEAKER_66	Женщина
SPEAKER_68	Девочка
SPEAKER_69	Жрица
SPEAKER_70	Матрос
SPEAKER_71	Команда
SPEAKER_72	Капитан
SPEAKER_73	Мужчина
SPEAKER_74	Мальчик
SPEAKER_75	Старейшина
SPEAKER_76	Команда
SPEAKER_77	Солдат
SPEAKER_80	Старик
E0001_01_342_a_01	Капитан, мы прибываем в Барон.
E0001_01_342_a_02	Хорошо...
E0001_01_342_a_03	Капитан что-то приуныл.
