SPEAKER_01	???
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM) & (POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	แม่ของ (ROZA)
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	ภรรยาของ (YANG)
SPEAKER_17	อสุรา
SPEAKER_18	แอนนา
SPEAKER_19	ราชาแห่งเอบลัน
SPEAKER_21	ราชินีแห่งเอบลัน
SPEAKER_23	แคกนาซโซ
SPEAKER_24	กัปตัน
SPEAKER_25	โคริโอ
SPEAKER_26	กอลเบซ
SPEAKER_27	ซาฮากิน
SPEAKER_28	ปู่
SPEAKER_29	แม่ทัพ
SPEAKER_30	จีออต
SPEAKER_32	ซิลฟ์
SPEAKER_33	สคาร์มิโลเน
SPEAKER_34	เซมุส
SPEAKER_35	เซโรมุส
SPEAKER_36	เอลฟ์แห่งความมืด
SPEAKER_37	แม่มดแห่งหนองน้ำ
SPEAKER_38	แซนดี้
SPEAKER_39	คนแคระ
SPEAKER_41	ราชาคนแคระ
SPEAKER_42	เนมมิ่งเวย์
SPEAKER_43	บาร์นาบัส
SPEAKER_44	บาร์บาริกเซีย
SPEAKER_45	ราชาแห่งบารอน
SPEAKER_46	ราชาแห่งฟาบูล
SPEAKER_47	ไบแกน
SPEAKER_48	ซินดี้
SPEAKER_49	พี่น้องเมกัส
SPEAKER_50	นักบวช
SPEAKER_51	มินดี้
SPEAKER_52	เลวีอาธาน
SPEAKER_53	ลูคา
SPEAKER_54	ลูเก้
SPEAKER_55	ดร.ลูเก้
SPEAKER_56	รูบิคันเต้
SPEAKER_59	ทั้งหมด
SPEAKER_60	องครักษ์
SPEAKER_61	กวี
SPEAKER_62	อดีตราชา
SPEAKER_63	ลูกสัตว์
SPEAKER_64	ราชาอสูร
SPEAKER_65	เทพของอสูร
SPEAKER_66	หญิงสาว
SPEAKER_68	เด็กหญิง
SPEAKER_69	พระ
SPEAKER_70	กะลาสี
SPEAKER_71	ลูกเรือ
SPEAKER_72	กัปตัน
SPEAKER_73	ชายหนุ่ม
SPEAKER_74	เด็กชาย
