SPEAKER_01	？？？？
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM)　(POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	(ROZA)的母亲
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	(YANG)夫人
SPEAKER_17	阿修罗
SPEAKER_18	安娜
SPEAKER_19	艾布拉纳王
SPEAKER_21	艾布拉纳王妃
SPEAKER_23	凯纳槽
SPEAKER_24	队长
SPEAKER_25	克利奥
SPEAKER_26	高贝扎
SPEAKER_27	鱼人
SPEAKER_28	管家
SPEAKER_29	将军
SPEAKER_30	乔特
SPEAKER_32	风精灵
SPEAKER_33	斯卡米留尼
SPEAKER_34	泽姆斯
SPEAKER_35	泽罗姆斯
SPEAKER_36	暗黑精灵
SPEAKER_37	谄媚巫女
SPEAKER_38	多格
SPEAKER_39	矮人
SPEAKER_41	矮人王
SPEAKER_42	命名威
SPEAKER_43	巴尔纳伯
SPEAKER_44	巴尔巴莉希娅
SPEAKER_45	巴隆王
SPEAKER_46	法布尔王
SPEAKER_47	贝迦恩
SPEAKER_48	马格
SPEAKER_49	梅加斯三姐妹
SPEAKER_50	武僧
SPEAKER_51	拉格
SPEAKER_52	利维亚桑
SPEAKER_53	露卡
SPEAKER_54	卢格
SPEAKER_55	卢格博士
SPEAKER_56	卢比坎特
SPEAKER_59	忍者众
SPEAKER_60	近卫兵
SPEAKER_61	吟游诗人
SPEAKER_62	先王
SPEAKER_63	幻兽之子
SPEAKER_64	幻兽王
SPEAKER_65	幻兽神
SPEAKER_66	女人
SPEAKER_68	女孩
SPEAKER_69	神官
SPEAKER_70	船员
SPEAKER_71	船员们
SPEAKER_72	船长
SPEAKER_73	男人
SPEAKER_74	男孩
SPEAKER_75	长老
SPEAKER_76	弟子们
SPEAKER_77	士兵
SPEAKER_80	老人
E0001_01_342_a_01	(CECIL)队长！\n我们马上就要到达巴隆了！
E0001_01_342_a_02	嗯……
E0001_01_342_a_03	果然连队长也很纠结啊……
E0001_01_342_a_04	虽说是国王陛下的命令……\n可是从无罪的人们手中夺取水晶……
