SPEAKER_01	？？？？
SPEAKER_02	(CAIN)
SPEAKER_03	(CECIL)
SPEAKER_04	(CID)
SPEAKER_05	(EDGE)
SPEAKER_06	(FOOSUYA)
SPEAKER_07	(GILBART)
SPEAKER_08	(PALOM)
SPEAKER_09	(PALOM)　(POLOM)
SPEAKER_10	(POLOM)
SPEAKER_11	(ROZA)
SPEAKER_12	(ROZA)的母親
SPEAKER_13	(RYDIA)
SPEAKER_14	(TELLA)
SPEAKER_15	(YANG)
SPEAKER_16	(YANG)夫人
SPEAKER_17	阿修羅
SPEAKER_18	安娜
SPEAKER_19	艾布拉納王
SPEAKER_21	艾布拉納王妃
SPEAKER_23	凱納槽
SPEAKER_24	隊長
SPEAKER_25	克利奧
SPEAKER_26	高貝扎
SPEAKER_27	魚人
SPEAKER_28	管家
SPEAKER_29	將軍
SPEAKER_30	喬特
SPEAKER_32	風精靈
SPEAKER_33	斯卡米留尼
SPEAKER_34	澤姆斯
SPEAKER_35	澤羅姆斯
SPEAKER_36	暗黑精靈
SPEAKER_37	諂媚巫女
SPEAKER_38	多格
SPEAKER_39	矮人
SPEAKER_41	矮人王
SPEAKER_42	命名威
SPEAKER_43	巴爾納伯
SPEAKER_44	巴爾巴莉希亞
SPEAKER_45	巴隆王
SPEAKER_46	法布爾王
SPEAKER_47	貝迦恩
SPEAKER_48	馬格
SPEAKER_49	梅加斯三姐妹
SPEAKER_50	武僧
SPEAKER_51	拉格
SPEAKER_52	利維坦
SPEAKER_53	露卡
SPEAKER_54	盧格
SPEAKER_55	盧格博士
SPEAKER_56	盧比坎特
SPEAKER_59	忍者眾
SPEAKER_60	近衛兵
SPEAKER_61	吟遊詩人
SPEAKER_62	先王
SPEAKER_63	幻獸之子
SPEAKER_64	幻獸王
SPEAKER_65	幻獸神
SPEAKER_66	女人
SPEAKER_68	女孩
SPEAKER_69	神官
SPEAKER_70	船員
SPEAKER_71	船員們
SPEAKER_72	船長
SPEAKER_73	男人
SPEAKER_74	男孩
SPEAKER_75	長老
SPEAKER_76	弟子們
SPEAKER_77	士兵
SPEAKER_80	老人
E0001_01_342_a_01	(CECIL)隊長！\n我們立刻就要到達巴隆了！
E0001_01_342_a_02	嗯……
E0001_01_342_a_03	果然連隊長也很糾結啊……
E0001_01_342_a_04	雖說是國王陛下的命令……\n可是從無罪的人們手中奪取水晶……
