MSG_CHAR_NAME_01	Cecil
MSG_CHAR_NAME_02	Kain
MSG_CHAR_NAME_03	Rosa
MSG_CHAR_NAME_04	Rydia
MSG_CHAR_NAME_05	Cid
MSG_CHAR_NAME_06	Tellah
MSG_CHAR_NAME_07	Edward
MSG_CHAR_NAME_08	Yang
MSG_CHAR_NAME_09	Palom
MSG_CHAR_NAME_10	Porom
MSG_CHAR_NAME_11	Edge
MSG_CHAR_NAME_12	FuSoYa
MSG_CHAR_NAME_13	Golbez
MSG_JOB_NAME_01	Dark Knight
MSG_JOB_NAME_02	Dragoon
MSG_JOB_NAME_03	White Mage
MSG_JOB_NAME_04	Summoner
MSG_JOB_NAME_05	Engineer
MSG_JOB_NAME_06	Sage
MSG_JOB_NAME_07	Prince
MSG_JOB_NAME_08	Monk
MSG_JOB_NAME_09	Black Mage
MSG_JOB_NAME_10	White Mage
MSG_JOB_NAME_11	Ninja
MSG_JOB_NAME_12	Lunarian
MSG_JOB_NAME_13	Paladin
MSG_MAGIC_NAME_01	<IC_WMGC>Hold
MSG_MAGIC_NAME_02	<IC_WMGC>Silence
MSG_MAGIC_NAME_03	<IC_WMGC>Confuse
MSG_MAGIC_NAME_04	<IC_WMGC>Blink
MSG_MAGIC_NAME_05	<IC_WMGC>Protect
MSG_MAGIC_NAME_06	<IC_WMGC>Shell
MSG_MAGIC_NAME_07	<IC_WMGC>Slow
MSG_MAGIC_NAME_08	<IC_WMGC>Haste
MSG_MAGIC_NAME_09	<IC_WMGC>Berserk
MSG_MAGIC_NAME_10	<IC_WMGC>Reflect
MSG_MAGIC_NAME_11	<IC_WMGC>Holy
MSG_MAGIC_NAME_12	<IC_WMGC>Dispel
MSG_MAGIC_NAME_13	<IC_WMGC>Scan
MSG_MAGIC_NAME_14	<IC_WMGC>Cure
MSG_MAGIC_NAME_15	<IC_WMGC>Cura
MSG_MAGIC_NAME_16	<IC_WMGC>Curaga
MSG_MAGIC_NAME_17	<IC_WMGC>Curaja
MSG_MAGIC_NAME_18	<IC_WMGC>Esuna
MSG_MAGIC_NAME_19	<IC_WMGC>Life
MSG_MAGIC_NAME_20	<IC_WMGC>Full-Life
MSG_MAGIC_NAME_21	<IC_WMGC>Mini
MSG_MAGIC_NAME_22	<IC_WMGC>Teleport
MSG_MAGIC_NAME_23	<IC_WMGC>Sight
MSG_MAGIC_NAME_24	<IC_WMGC>Float
MSG_MAGIC_NAME_25	<IC_BMGC>Toad
MSG_MAGIC_NAME_26	<IC_BMGC>Pig
MSG_MAGIC_NAME_27	<IC_BMGC>Warp
MSG_MAGIC_NAME_28	<IC_BMGC>Poison
MSG_MAGIC_NAME_29	<IC_BMGC>Fire
MSG_MAGIC_NAME_30	<IC_BMGC>Fira
MSG_MAGIC_NAME_31	<IC_BMGC>Firaga
MSG_MAGIC_NAME_32	<IC_BMGC>Blizzard
MSG_MAGIC_NAME_33	<IC_BMGC>Blizzara
MSG_MAGIC_NAME_34	<IC_BMGC>Blizzaga
MSG_MAGIC_NAME_35	<IC_BMGC>Thunder
MSG_MAGIC_NAME_36	<IC_BMGC>Thundara
MSG_MAGIC_NAME_37	<IC_BMGC>Thundaga
MSG_MAGIC_NAME_38	<IC_BMGC>Bio
MSG_MAGIC_NAME_39	<IC_BMGC>Tornado
MSG_MAGIC_NAME_40	<IC_BMGC>Quake
MSG_MAGIC_NAME_41	<IC_BMGC>Sleep
MSG_MAGIC_NAME_42	<IC_BMGC>Break
MSG_MAGIC_NAME_43	<IC_BMGC>Death
MSG_MAGIC_NAME_44	<IC_BMGC>Stop
MSG_MAGIC_NAME_45	<IC_BMGC>Drain
MSG_MAGIC_NAME_46	<IC_BMGC>Osmose
MSG_MAGIC_NAME_47	<IC_BMGC>Meteor
MSG_MAGIC_NAME_48	<IC_BMGC>Flare
MSG_MAGIC_NAME_49	<IC_SMGC>Goblin
MSG_MAGIC_NAME_50	<IC_SMGC>Bomb
MSG_MAGIC_NAME_51	<IC_SMGC>Cockatrice
MSG_MAGIC_NAME_52	<IC_SMGC>Mind Flayer
MSG_MAGIC_NAME_53	<IC_SMGC>Chocobo
MSG_MAGIC_NAME_54	<IC_SMGC>Shiva
MSG_MAGIC_NAME_55	<IC_SMGC>Ramuh
MSG_MAGIC_NAME_56	<IC_SMGC>Ifrit
MSG_MAGIC_NAME_57	<IC_SMGC>Titan
MSG_MAGIC_NAME_58	<IC_SMGC>Mist Dragon
MSG_MAGIC_NAME_59	<IC_SMGC>Sylph
MSG_MAGIC_NAME_60	<IC_SMGC>Odin
MSG_MAGIC_NAME_61	<IC_SMGC>Leviathan
MSG_MAGIC_NAME_62	<IC_SMGC>Asura
MSG_MAGIC_NAME_63	<IC_SMGC>Bahamut
MSG_MAGIC_NAME_64	<IC_BMGC>Comet
MSG_MAGIC_NAME_65	<IC_BMGC>Pyro
MSG_MAGIC_NAME_66	Flame
MSG_MAGIC_NAME_67	Flood
MSG_MAGIC_NAME_68	Blitz
MSG_MAGIC_NAME_69	Smoke
MSG_MAGIC_NAME_70	Pin
MSG_MAGIC_NAME_71	Mirage
MSG_MAGIC_NAME_72	Magic Arrow
MSG_MAGIC_NAME_73	Heal
MSG_MAGIC_NAME_74	Basuna
MSG_MAGIC_NAME_75	Poisona
MSG_MAGIC_NAME_76	Dancing Dagger
MSG_MAGIC_NAME_77	Goblin Punch
MSG_MAGIC_NAME_78	Self-Destruct
MSG_MAGIC_NAME_79	Petrifying Beak
MSG_MAGIC_NAME_80	Mind Blast
MSG_MAGIC_NAME_81	Chocobo Kick
MSG_MAGIC_NAME_82	Diamond Dust
MSG_MAGIC_NAME_83	Bolt of Judgment
MSG_MAGIC_NAME_84	Hellfire
MSG_MAGIC_NAME_85	Gaia's Wrath
MSG_MAGIC_NAME_86	Mist Breath
MSG_MAGIC_NAME_87	Whisperwind
MSG_MAGIC_NAME_88	Zantetsuken
MSG_MAGIC_NAME_89	Tsunami
MSG_MAGIC_NAME_90	Asura
MSG_MAGIC_NAME_91	Mega Flare
MSG_MON_ATK_01	Gaze
MSG_MON_ATK_02	Blaster
MSG_MON_ATK_03	Slap
MSG_MON_ATK_04	Poison Powder
MSG_MON_ATK_05	Glare
MSG_MON_ATK_06	Entice
MSG_MON_ATK_07	Lick
MSG_MON_ATK_08	Curse
MSG_MON_ATK_09	Ray
MSG_MON_ATK_10	Doom
MSG_MON_ATK_11	Peck
MSG_MON_ATK_12	Stone Gaze
MSG_MON_ATK_13	Mind Blast
MSG_MON_ATK_14	Embrace
MSG_MON_ATK_15	Bad Breath
MSG_MON_ATK_16	Hex
MSG_MON_ATK_17	Constrict
MSG_MON_ATK_18	Whirl
MSG_MON_ATK_19	Time Distortion
MSG_MON_ATK_20	Cold Mist
MSG_MON_ATK_21	Explode
MSG_MON_ATK_22	Cursed Elegy
MSG_MON_ATK_23	Ice Bind
MSG_MON_ATK_24	Sleeping Gas
MSG_MON_ATK_25	Poison Gas
MSG_MON_ATK_26	Piercing Laser
MSG_MON_ATK_27	Black Fangs
MSG_MON_ATK_28	Black Hole
MSG_MON_ATK_29	Dancing
MSG_MON_ATK_30	Ninth Dimension
MSG_MON_ATK_31	Maelstrom
MSG_MON_ATK_32	Magnetic Radiation
MSG_MON_ATK_33	Chain Reaction
MSG_MON_ATK_34	Hatch
MSG_MON_ATK_35	Restore
MSG_MON_ATK_36	Absorb
MSG_MON_ATK_37	Panacea
MSG_MON_ATK_38	Big Bang
MSG_MON_ATK_39	Bloodfeast
MSG_MON_ATK_40	Digestive Acid
MSG_MON_ATK_41	Pollen
MSG_MON_ATK_42	Crush
MSG_MON_ATK_43	Alert
MSG_MON_ATK_44	Summon
MSG_MON_ATK_45	Search
MSG_MON_ATK_46	Fission
MSG_MON_ATK_47	Retreat
MSG_MON_ATK_48	Beam
MSG_MON_ATK_49	Globe 199
MSG_MON_ATK_50	Flame
MSG_MON_ATK_51	Blaze
MSG_MON_ATK_52	Thunderbolt
MSG_MON_ATK_53	Lightning
MSG_MON_ATK_54	Dark Breath
MSG_MON_ATK_55	Tidal Wave
MSG_MON_ATK_56	Ice Storm
MSG_MON_ATK_57	Tsunami
MSG_MON_ATK_58	Tornado
MSG_MON_ATK_59	Laser
MSG_MON_ATK_60	Self-Destruct
MSG_MON_ATK_61	Earthquake
MSG_MON_ATK_62	Flame Thrower
MSG_MON_ATK_63	Heat Ray
MSG_MON_ATK_64	Inferno
MSG_MON_ATK_65	Zantetsuken
MSG_MON_ATK_66	Mega Flare
