MSG_CHAR_NAME_01	Cécil
MSG_CHAR_NAME_02	Kaïn
MSG_CHAR_NAME_03	Rosa
MSG_CHAR_NAME_04	Rydia
MSG_CHAR_NAME_05	Cid
MSG_CHAR_NAME_06	Tellah
MSG_CHAR_NAME_07	Edward
MSG_CHAR_NAME_08	Yang
MSG_CHAR_NAME_09	Palom
MSG_CHAR_NAME_10	Porom
MSG_CHAR_NAME_11	Edge
MSG_CHAR_NAME_12	Fusoya
MSG_CHAR_NAME_13	Golbez
MSG_JOB_NAME_01	Chevalier noir
MSG_JOB_NAME_02	Chevalier dragon
MSG_JOB_NAME_03	Mage blanc
MSG_JOB_NAME_04	Invocatrice
MSG_JOB_NAME_05	Ingénieur
MSG_JOB_NAME_06	Sage
MSG_JOB_NAME_07	Prince
MSG_JOB_NAME_08	Moine
MSG_JOB_NAME_09	Mage noir
MSG_JOB_NAME_10	Mage blanc
MSG_JOB_NAME_11	Ninja
MSG_JOB_NAME_12	Sélénite
MSG_JOB_NAME_13	Paladin
MSG_MAGIC_NAME_01	<IC_WMGC>Paralysie
MSG_MAGIC_NAME_02	<IC_WMGC>Silence
MSG_MAGIC_NAME_03	<IC_WMGC>Confusion
MSG_MAGIC_NAME_04	<IC_WMGC>Leurre
MSG_MAGIC_NAME_05	<IC_WMGC>Bouclier
MSG_MAGIC_NAME_06	<IC_WMGC>Barrière
MSG_MAGIC_NAME_07	<IC_WMGC>Lenteur
MSG_MAGIC_NAME_08	<IC_WMGC>Célérité
MSG_MAGIC_NAME_09	<IC_WMGC>Furie
MSG_MAGIC_NAME_10	<IC_WMGC>Miroir
MSG_MAGIC_NAME_11	<IC_WMGC>Lumière
MSG_MAGIC_NAME_12	<IC_WMGC>Purge
MSG_MAGIC_NAME_13	<IC_WMGC>Acuité
MSG_MAGIC_NAME_14	<IC_WMGC>Soin
MSG_MAGIC_NAME_15	<IC_WMGC>Soin²
MSG_MAGIC_NAME_16	<IC_WMGC>Soin³
MSG_MAGIC_NAME_17	<IC_WMGC>Soin⁴
MSG_MAGIC_NAME_18	<IC_WMGC>Guérison
MSG_MAGIC_NAME_19	<IC_WMGC>Vie
MSG_MAGIC_NAME_20	<IC_WMGC>Vie²
MSG_MAGIC_NAME_21	<IC_WMGC>Mini
MSG_MAGIC_NAME_22	<IC_WMGC>Téléporter
MSG_MAGIC_NAME_23	<IC_WMGC>Vision
MSG_MAGIC_NAME_24	<IC_WMGC>Lévitation
MSG_MAGIC_NAME_25	<IC_BMGC>Crapaud
MSG_MAGIC_NAME_26	<IC_BMGC>Porcelet
MSG_MAGIC_NAME_27	<IC_BMGC>Portail
MSG_MAGIC_NAME_28	<IC_BMGC>Poison
MSG_MAGIC_NAME_29	<IC_BMGC>Feu
MSG_MAGIC_NAME_30	<IC_BMGC>Feu²
MSG_MAGIC_NAME_31	<IC_BMGC>Feu³
MSG_MAGIC_NAME_32	<IC_BMGC>Glace
MSG_MAGIC_NAME_33	<IC_BMGC>Glace²
MSG_MAGIC_NAME_34	<IC_BMGC>Glace³
MSG_MAGIC_NAME_35	<IC_BMGC>Foudre
MSG_MAGIC_NAME_36	<IC_BMGC>Foudre²
MSG_MAGIC_NAME_37	<IC_BMGC>Foudre³
MSG_MAGIC_NAME_38	<IC_BMGC>Toxine
MSG_MAGIC_NAME_39	<IC_BMGC>Bourrasque
