MSG_CHAR_NAME_01	セシル
MSG_CHAR_NAME_02	カイン
MSG_CHAR_NAME_03	ローザ
MSG_CHAR_NAME_04	リディア
MSG_CHAR_NAME_05	シド
MSG_CHAR_NAME_06	テラ
MSG_CHAR_NAME_07	ギルバート
MSG_CHAR_NAME_08	ヤン
MSG_CHAR_NAME_09	パロム
MSG_CHAR_NAME_10	ポロム
MSG_CHAR_NAME_11	エッジ
MSG_CHAR_NAME_12	フースーヤ
MSG_CHAR_NAME_13	ゴルベーザ
MSG_JOB_NAME_01	暗黒騎士
MSG_JOB_NAME_02	竜騎士
MSG_JOB_NAME_03	白魔道士
MSG_JOB_NAME_04	召喚士
MSG_JOB_NAME_05	技師
MSG_JOB_NAME_06	賢者
MSG_JOB_NAME_07	王族
MSG_JOB_NAME_08	モンク僧
MSG_JOB_NAME_09	黒魔道士
MSG_JOB_NAME_10	白魔導士
MSG_JOB_NAME_11	忍者
MSG_JOB_NAME_12	月の民
MSG_JOB_NAME_13	パラディン
MSG_MAGIC_NAME_01	<IC_WMGC>ホールド
MSG_MAGIC_NAME_02	<IC_WMGC>サイレス
MSG_MAGIC_NAME_03	<IC_WMGC>コンフュ
MSG_MAGIC_NAME_04	<IC_WMGC>ブリンク
MSG_MAGIC_NAME_05	<IC_WMGC>プロテス
MSG_MAGIC_NAME_06	<IC_WMGC>シェル
MSG_MAGIC_NAME_07	<IC_WMGC>スロウ
MSG_MAGIC_NAME_08	<IC_WMGC>ヘイスト
MSG_MAGIC_NAME_09	<IC_WMGC>バーサク
MSG_MAGIC_NAME_10	<IC_WMGC>リフレク
MSG_MAGIC_NAME_11	<IC_WMGC>ホーリー
MSG_MAGIC_NAME_12	<IC_WMGC>ディスペル
MSG_MAGIC_NAME_13	<IC_WMGC>ライブラ
MSG_MAGIC_NAME_14	<IC_WMGC>ケアル
MSG_MAGIC_NAME_15	<IC_WMGC>ケアルラ
MSG_MAGIC_NAME_16	<IC_WMGC>ケアルダ
MSG_MAGIC_NAME_17	<IC_WMGC>ケアルガ
MSG_MAGIC_NAME_18	<IC_WMGC>エスナ
MSG_MAGIC_NAME_19	<IC_WMGC>レイズ
MSG_MAGIC_NAME_20	<IC_WMGC>アレイズ
MSG_MAGIC_NAME_21	<IC_WMGC>ミニマム
MSG_MAGIC_NAME_22	<IC_WMGC>テレポ
MSG_MAGIC_NAME_23	<IC_WMGC>サイトロ
MSG_MAGIC_NAME_24	<IC_WMGC>レビテト
MSG_MAGIC_NAME_25	<IC_BMGC>トード
MSG_MAGIC_NAME_26	<IC_BMGC>ポーキー
MSG_MAGIC_NAME_27	<IC_BMGC>デジョン
MSG_MAGIC_NAME_28	<IC_BMGC>ポイズン
MSG_MAGIC_NAME_29	<IC_BMGC>ファイア
MSG_MAGIC_NAME_30	<IC_BMGC>ファイラ
MSG_MAGIC_NAME_31	<IC_BMGC>ファイガ
MSG_MAGIC_NAME_32	<IC_BMGC>ブリザド
MSG_MAGIC_NAME_33	<IC_BMGC>ブリザラ
MSG_MAGIC_NAME_34	<IC_BMGC>ブリザガ
MSG_MAGIC_NAME_35	<IC_BMGC>サンダー
MSG_MAGIC_NAME_36	<IC_BMGC>サンダラ
MSG_MAGIC_NAME_37	<IC_BMGC>サンダガ
MSG_MAGIC_NAME_38	<IC_BMGC>バイオ
MSG_MAGIC_NAME_39	<IC_BMGC>トルネド
MSG_MAGIC_NAME_40	<IC_BMGC>クエイク
MSG_MAGIC_NAME_41	<IC_BMGC>スリプル
MSG_MAGIC_NAME_42	<IC_BMGC>ブレイク
MSG_MAGIC_NAME_43	<IC_BMGC>デス
MSG_MAGIC_NAME_44	<IC_BMGC>ストップ
MSG_MAGIC_NAME_45	<IC_BMGC>ドレイン
MSG_MAGIC_NAME_46	<IC_BMGC>アスピル
MSG_MAGIC_NAME_47	<IC_BMGC>メテオ
MSG_MAGIC_NAME_48	<IC_BMGC>フレア
MSG_MAGIC_NAME_49	<IC_SMGC>ゴブリン
MSG_MAGIC_NAME_50	<IC_SMGC>ボム
MSG_MAGIC_NAME_51	<IC_SMGC>コカトリス
MSG_MAGIC_NAME_52	<IC_SMGC>マインドフレア
MSG_MAGIC_NAME_53	<IC_SMGC>チョコボ
MSG_MAGIC_NAME_54	<IC_SMGC>シヴァ
MSG_MAGIC_NAME_55	<IC_SMGC>ラムウ
MSG_MAGIC_NAME_56	<IC_SMGC>イフリート
MSG_MAGIC_NAME_57	<IC_SMGC>タイタン
MSG_MAGIC_NAME_58	<IC_SMGC>ミストドラゴン
MSG_MAGIC_NAME_59	<IC_SMGC>シルフ
MSG_MAGIC_NAME_60	<IC_SMGC>オーディン
MSG_MAGIC_NAME_61	<IC_SMGC>リヴァイアサン
MSG_MAGIC_NAME_62	<IC_SMGC>アスラ
MSG_MAGIC_NAME_63	<IC_SMGC>バハムート
MSG_MAGIC_NAME_64	<IC_BMGC>プチメテオ
MSG_MAGIC_NAME_65	<IC_BMGC>プチフレア
MSG_MAGIC_NAME_66	火遁
MSG_MAGIC_NAME_67	水遁
MSG_MAGIC_NAME_68	雷迅
MSG_MAGIC_NAME_69	煙玉
MSG_MAGIC_NAME_70	影縛り
MSG_MAGIC_NAME_71	分身
MSG_MAGIC_NAME_72	マジックアロー
MSG_MAGIC_NAME_73	ヒール
MSG_MAGIC_NAME_74	バスナ
MSG_MAGIC_NAME_75	ポイゾナ
MSG_MAGIC_NAME_76	ダンシングダガー
MSG_MAGIC_NAME_77	ゴブリンパンチ
MSG_MAGIC_NAME_78	自爆
MSG_MAGIC_NAME_79	石化くちばし
MSG_MAGIC_NAME_80	マインドブラスト
MSG_MAGIC_NAME_81	チョコボキック
MSG_MAGIC_NAME_82	吹雪
MSG_MAGIC_NAME_83	裁きの雷
MSG_MAGIC_NAME_84	地獄の火炎
MSG_MAGIC_NAME_85	大地の怒り
MSG_MAGIC_NAME_86	霧のブレス
MSG_MAGIC_NAME_87	風のささやき
MSG_MAGIC_NAME_88	斬鉄剣
MSG_MAGIC_NAME_89	津波
