MSG_CHAR_NAME_01	세실
MSG_CHAR_NAME_02	카인
MSG_CHAR_NAME_03	로자
MSG_CHAR_NAME_04	리디아
MSG_CHAR_NAME_05	시드
MSG_CHAR_NAME_06	테라
MSG_CHAR_NAME_07	길버트
MSG_CHAR_NAME_08	양
MSG_CHAR_NAME_09	파롬
MSG_CHAR_NAME_10	포롬
MSG_CHAR_NAME_11	엣지
MSG_CHAR_NAME_12	후스야
MSG_CHAR_NAME_13	골베자
MSG_JOB_NAME_01	암흑기사
MSG_JOB_NAME_02	용기사
MSG_JOB_NAME_03	백마도사
MSG_JOB_NAME_04	소환사
MSG_JOB_NAME_05	기술자
MSG_JOB_NAME_06	현자
MSG_JOB_NAME_07	왕족
MSG_JOB_NAME_08	몽크
MSG_JOB_NAME_09	흑마도사
MSG_JOB_NAME_10	백마도사
MSG_JOB_NAME_11	닌자
MSG_JOB_NAME_12	달의 주민
MSG_JOB_NAME_13	팔라딘
MSG_MAGIC_NAME_01	<IC_WMGC>홀드
MSG_MAGIC_NAME_02	<IC_WMGC>사일레스
MSG_MAGIC_NAME_03	<IC_WMGC>컨퓨
MSG_MAGIC_NAME_04	<IC_WMGC>블링크
MSG_MAGIC_NAME_05	<IC_WMGC>프로테스
MSG_MAGIC_NAME_06	<IC_WMGC>셸
MSG_MAGIC_NAME_07	<IC_WMGC>슬로우
MSG_MAGIC_NAME_08	<IC_WMGC>헤이스트
MSG_MAGIC_NAME_09	<IC_WMGC>버서크
MSG_MAGIC_NAME_10	<IC_WMGC>리플렉
MSG_MAGIC_NAME_11	<IC_WMGC>홀리
MSG_MAGIC_NAME_12	<IC_WMGC>디스펠
MSG_MAGIC_NAME_13	<IC_WMGC>라이브라
MSG_MAGIC_NAME_14	<IC_WMGC>케알
MSG_MAGIC_NAME_15	<IC_WMGC>케알라
MSG_MAGIC_NAME_16	<IC_WMGC>케알다
MSG_MAGIC_NAME_17	<IC_WMGC>케알가
MSG_MAGIC_NAME_18	<IC_WMGC>에스나
MSG_MAGIC_NAME_19	<IC_WMGC>레이즈
MSG_MAGIC_NAME_20	<IC_WMGC>아레이즈
MSG_MAGIC_NAME_21	<IC_WMGC>미니멈
MSG_MAGIC_NAME_22	<IC_WMGC>텔레포
MSG_MAGIC_NAME_23	<IC_WMGC>사이트로
MSG_MAGIC_NAME_24	<IC_WMGC>레비테트
MSG_MAGIC_NAME_25	<IC_BMGC>토드
MSG_MAGIC_NAME_26	<IC_BMGC>포키
MSG_MAGIC_NAME_27	<IC_BMGC>데존
MSG_MAGIC_NAME_28	<IC_BMGC>포이즌
MSG_MAGIC_NAME_29	<IC_BMGC>파이어
MSG_MAGIC_NAME_30	<IC_BMGC>파이라
MSG_MAGIC_NAME_31	<IC_BMGC>파이가
MSG_MAGIC_NAME_32	<IC_BMGC>블리자드
MSG_MAGIC_NAME_33	<IC_BMGC>블리자라
MSG_MAGIC_NAME_34	<IC_BMGC>블리자가
MSG_MAGIC_NAME_35	<IC_BMGC>선더
MSG_MAGIC_NAME_36	<IC_BMGC>선더라
MSG_MAGIC_NAME_37	<IC_BMGC>선더가
MSG_MAGIC_NAME_38	<IC_BMGC>바이오
MSG_MAGIC_NAME_39	<IC_BMGC>토네이도
MSG_MAGIC_NAME_40	<IC_BMGC>퀘이크
MSG_MAGIC_NAME_41	<IC_BMGC>슬리플
MSG_MAGIC_NAME_42	<IC_BMGC>브레이크
MSG_MAGIC_NAME_43	<IC_BMGC>데스
MSG_MAGIC_NAME_44	<IC_BMGC>스톱
MSG_MAGIC_NAME_45	<IC_BMGC>드레인
MSG_MAGIC_NAME_46	<IC_BMGC>아스필
MSG_MAGIC_NAME_47	<IC_BMGC>메테오
MSG_MAGIC_NAME_48	<IC_BMGC>플레어
MSG_MAGIC_NAME_49	<IC_SMGC>고블린
MSG_MAGIC_NAME_50	<IC_SMGC>봄
MSG_MAGIC_NAME_51	<IC_SMGC>코카트리스
MSG_MAGIC_NAME_52	<IC_SMGC>마인드 플레이어
MSG_MAGIC_NAME_53	<IC_SMGC>초코보
MSG_MAGIC_NAME_54	<IC_SMGC>시바
MSG_MAGIC_NAME_55	<IC_SMGC>라무
MSG_MAGIC_NAME_56	<IC_SMGC>이프리트
MSG_MAGIC_NAME_57	<IC_SMGC>타이탄
MSG_MAGIC_NAME_58	<IC_SMGC>미스트 드래곤
MSG_MAGIC_NAME_59	<IC_SMGC>실프
MSG_MAGIC_NAME_60	<IC_SMGC>오딘
MSG_MAGIC_NAME_61	<IC_SMGC>리바이어선
MSG_MAGIC_NAME_62	<IC_SMGC>아슈라
MSG_MAGIC_NAME_63	<IC_SMGC>바하무트
MSG_MAGIC_NAME_64	<IC_BMGC>프티 메테오
MSG_MAGIC_NAME_65	<IC_BMGC>프티 플레어
MSG_MAGIC_NAME_66	화둔
MSG_MAGIC_NAME_67	수둔
MSG_MAGIC_NAME_68	뇌신
MSG_MAGIC_NAME_69	연막탄
MSG_MAGIC_NAME_70	그림자 묶기
MSG_MAGIC_NAME_71	분신
MSG_MAGIC_NAME_72	매직 애로
MSG_MAGIC_NAME_73	힐
MSG_MAGIC_NAME_74	바스나
MSG_MAGIC_NAME_75	포이즈나
MSG_MAGIC_NAME_76	댄싱 대거
MSG_MAGIC_NAME_77	고블린 펀치
MSG_MAGIC_NAME_78	자폭
MSG_MAGIC_NAME_79	석화 부리
MSG_MAGIC_NAME_80	마인드 블래스트
MSG_MAGIC_NAME_81	초코보 킥
MSG_MAGIC_NAME_82	눈보라
MSG_MAGIC_NAME_83	심판의 번개
MSG_MAGIC_NAME_84	지옥의 화염
MSG_MAGIC_NAME_85	대지의 분노
MSG_MAGIC_NAME_86	안개 브레스
MSG_MAGIC_NAME_87	바람의 속삭임
MSG_MAGIC_NAME_88	참철검
MSG_MAGIC_NAME_89	쓰나미
MSG_MAGIC_NAME_90	아슈라
MSG_MAGIC_NAME_91	메가 플레어
MSG_MON_ATK_01	시선
MSG_MON_ATK_02	블래스터
MSG_MON_ATK_03	뺨 때리기
MSG_MON_ATK_04	인분
MSG_MON_ATK_05	눈동자
MSG_MON_ATK_06	유혹
MSG_MON_ATK_07	핥기
MSG_MON_ATK_08	저주
MSG_MON_ATK_09	지목
MSG_MON_ATK_10	죽음의 선고
MSG_MON_ATK_11	부리
MSG_MON_ATK_12	석화 노려보기
MSG_MON_ATK_13	마인드 블래스트
MSG_MON_ATK_14	포옹
MSG_MON_ATK_15	입냄새
MSG_MON_ATK_16	속삭임
MSG_MON_ATK_17	휘감기
MSG_MON_ATK_18	소용돌이
MSG_MON_ATK_19	차원 일그러짐
MSG_MON_ATK_20	찬 안개
MSG_MON_ATK_21	대폭발
MSG_MON_ATK_22	저주의 노래
MSG_MON_ATK_23	속박의 냉기
MSG_MON_ATK_24	수면 가스
MSG_MON_ATK_25	독가스
MSG_MON_ATK_26	투과 레이저
MSG_MON_ATK_27	검은 엄니
MSG_MON_ATK_28	블랙홀
MSG_MON_ATK_29	공주의 노래
MSG_MON_ATK_30	9차원
MSG_MON_ATK_31	대소용돌이
MSG_MON_ATK_32	전자기장
MSG_MON_ATK_33	연쇄 폭발
MSG_MON_ATK_34	부화
MSG_MON_ATK_35	회복
MSG_MON_ATK_36	흡수
MSG_MON_ATK_37	치료
MSG_MON_ATK_38	빅뱅
MSG_MON_ATK_39	흡혈
MSG_MON_ATK_40	소화액
MSG_MON_ATK_41	꽃가루
MSG_MON_ATK_42	크래시 다운
MSG_MON_ATK_43	경보
MSG_MON_ATK_44	소환
MSG_MON_ATK_45	조준
MSG_MON_ATK_46	핵폭발
MSG_MON_ATK_47	퇴각
MSG_MON_ATK_48	빔
MSG_MON_ATK_49	물체 199
MSG_MON_ATK_50	화염
MSG_MON_ATK_51	블레이즈
MSG_MON_ATK_52	벼락
MSG_MON_ATK_53	번개
MSG_MON_ATK_54	다크 브레스
MSG_MON_ATK_55	대쓰나미
MSG_MON_ATK_56	눈보라
MSG_MON_ATK_57	쓰나미
MSG_MON_ATK_58	회오리
MSG_MON_ATK_59	레이저
MSG_MON_ATK_60	자폭
MSG_MON_ATK_61	지진
MSG_MON_ATK_62	화염방사
MSG_MON_ATK_63	열선
MSG_MON_ATK_64	화염류
MSG_MON_ATK_65	참철검
MSG_MON_ATK_66	메가 플레어
MSG_MON_ATK_67	바늘
MSG_MON_ATK_68	반격의 뿔
MSG_MON_ATK_69	재생
MSG_MON_ATK_71	더블 메테오
MSG_MAG_INF_01	'마비' 상태로 만든다.
MSG_MAG_INF_02	'침묵' 상태로 만든다.
MSG_MAG_INF_03	'혼란' 상태로 만든다.
MSG_MAG_INF_04	적의 눈을 속일 수 있는 분신을 만든다.
MSG_MAG_INF_05	방어력을 높이는 마법의 막을 친다.
MSG_MAG_INF_06	마법 방어력을 높이는 마법의 막을 친다.
MSG_MAG_INF_07	시간의 흐름을 느리게 한다.
MSG_MAG_INF_08	시간의 흐름을 빠르게 한다.
MSG_MAG_INF_09	'광전사' 상태로 만든다.
MSG_MAG_INF_10	마법을 반사하는 배리어를 친다.
MSG_MAG_INF_11	성스러운 힘으로 공격한다.
MSG_MAG_INF_12	마법 효과를 제거한다.
MSG_MAG_INF_13	HP와 약점을 조사한다.
MSG_MAG_INF_14	HP를 회복한다.
MSG_MAG_INF_15	HP를 회복한다.
MSG_MAG_INF_16	HP를 회복한다.
MSG_MAG_INF_17	HP를 회복한다.
