MSG_CHAR_NAME_01	Сесил
MSG_CHAR_NAME_02	Каин
MSG_CHAR_NAME_03	Роза
MSG_CHAR_NAME_04	Ридия
MSG_CHAR_NAME_05	Сид
MSG_CHAR_NAME_06	Телла
MSG_CHAR_NAME_07	Эдвард
MSG_CHAR_NAME_08	Янг
MSG_CHAR_NAME_09	Палом
MSG_CHAR_NAME_10	Пором
MSG_CHAR_NAME_11	Эдж
MSG_CHAR_NAME_12	Фусойя
MSG_CHAR_NAME_13	Голбез
MSG_JOB_NAME_01	Темный рыцарь
MSG_JOB_NAME_02	Драгун
MSG_JOB_NAME_03	Белый маг
MSG_JOB_NAME_04	Призывательница
MSG_JOB_NAME_05	Инженер
MSG_JOB_NAME_06	Мудрец
MSG_JOB_NAME_07	Принц
MSG_JOB_NAME_08	Монах
MSG_JOB_NAME_09	Черный маг
MSG_JOB_NAME_10	Белый маг
MSG_JOB_NAME_11	Ниндзя
MSG_JOB_NAME_12	Лунарианец
MSG_JOB_NAME_13	Паладин
MSG_MAGIC_NAME_01	<IC_WMGC>Хватка
MSG_MAGIC_NAME_02	<IC_WMGC>Немота
MSG_MAGIC_NAME_03	<IC_WMGC>Замешательство
MSG_MAGIC_NAME_04	<IC_WMGC>Мерцание
MSG_MAGIC_NAME_05	<IC_WMGC>Защита
MSG_MAGIC_NAME_06	<IC_WMGC>Аура
MSG_MAGIC_NAME_07	<IC_WMGC>Замедление
MSG_MAGIC_NAME_08	<IC_WMGC>Ускорение
MSG_MAGIC_NAME_09	<IC_WMGC>Берсерк
MSG_MAGIC_NAME_10	<IC_WMGC>Отражение
MSG_MAGIC_NAME_11	<IC_WMGC>Свет
MSG_MAGIC_NAME_12	<IC_WMGC>Рассеивание
MSG_MAGIC_NAME_13	<IC_WMGC>Проверка
MSG_MAGIC_NAME_14	<IC_WMGC>Исцеление
MSG_MAGIC_NAME_15	<IC_WMGC>Исцеление 1
MSG_MAGIC_NAME_16	<IC_WMGC>Исцеление 2
MSG_MAGIC_NAME_17	<IC_WMGC>Исцеление 3
MSG_MAGIC_NAME_18	<IC_WMGC>Эсуна
MSG_MAGIC_NAME_19	<IC_WMGC>Оживление
MSG_MAGIC_NAME_20	<IC_WMGC>Воскрешение
MSG_MAGIC_NAME_21	<IC_WMGC>Мини
MSG_MAGIC_NAME_22	<IC_WMGC>Телепорт
MSG_MAGIC_NAME_23	<IC_WMGC>Обзор
MSG_MAGIC_NAME_24	<IC_WMGC>Полет
MSG_MAGIC_NAME_25	<IC_BMGC>Жаба
MSG_MAGIC_NAME_26	<IC_BMGC>Свин
MSG_MAGIC_NAME_27	<IC_BMGC>Перемещение
MSG_MAGIC_NAME_28	<IC_BMGC>Яд
MSG_MAGIC_NAME_29	<IC_BMGC>Искра
MSG_MAGIC_NAME_30	<IC_BMGC>Пламя
MSG_MAGIC_NAME_31	<IC_BMGC>Пожар
MSG_MAGIC_NAME_32	<IC_BMGC>Метель
MSG_MAGIC_NAME_33	<IC_BMGC>Буран
MSG_MAGIC_NAME_34	<IC_BMGC>Вьюга
MSG_MAGIC_NAME_35	<IC_BMGC>Вспышка
MSG_MAGIC_NAME_36	<IC_BMGC>Молния
MSG_MAGIC_NAME_37	<IC_BMGC>Гроза
MSG_MAGIC_NAME_38	<IC_BMGC>Био
MSG_MAGIC_NAME_39	<IC_BMGC>Смерч
MSG_MAGIC_NAME_40	<IC_BMGC>Землетрясение
MSG_MAGIC_NAME_41	<IC_BMGC>Сон
MSG_MAGIC_NAME_42	<IC_BMGC>Изваяние
MSG_MAGIC_NAME_43	<IC_BMGC>Гибель
MSG_MAGIC_NAME_44	<IC_BMGC>Остановка
MSG_MAGIC_NAME_45	<IC_BMGC>Осушение
MSG_MAGIC_NAME_46	<IC_BMGC>Осмос
MSG_MAGIC_NAME_47	<IC_BMGC>Метеор
MSG_MAGIC_NAME_48	<IC_BMGC>Всполох
MSG_MAGIC_NAME_49	<IC_SMGC>Гоблин
MSG_MAGIC_NAME_50	<IC_SMGC>Бомба
MSG_MAGIC_NAME_51	<IC_SMGC>Кокатрис
MSG_MAGIC_NAME_52	<IC_SMGC>Мозгодер
MSG_MAGIC_NAME_53	<IC_SMGC>Чокобо
MSG_MAGIC_NAME_54	<IC_SMGC>Шива
MSG_MAGIC_NAME_55	<IC_SMGC>Раму
MSG_MAGIC_NAME_56	<IC_SMGC>Ифрит
MSG_MAGIC_NAME_57	<IC_SMGC>Титан
MSG_MAGIC_NAME_58	<IC_SMGC>Туманный дракон
MSG_MAGIC_NAME_59	<IC_SMGC>Сильф
MSG_MAGIC_NAME_60	<IC_SMGC>Один
MSG_MAGIC_NAME_61	<IC_SMGC>Левиафан
MSG_MAGIC_NAME_62	<IC_SMGC>Асура
MSG_MAGIC_NAME_63	<IC_SMGC>Бахамут
MSG_MAGIC_NAME_64	<IC_BMGC>Комета
MSG_MAGIC_NAME_65	<IC_BMGC>Пиромания
MSG_MAGIC_NAME_66	Пламя
MSG_MAGIC_NAME_67	Потоп
MSG_MAGIC_NAME_68	Проблеск
MSG_MAGIC_NAME_69	Дым
MSG_MAGIC_NAME_70	Оковы
MSG_MAGIC_NAME_71	Мираж
MSG_MAGIC_NAME_72	Магическая стрела
MSG_MAGIC_NAME_73	Исцеление
MSG_MAGIC_NAME_74	Басуна
MSG_MAGIC_NAME_75	Отрава
MSG_MAGIC_NAME_76	Пляшущий кинжал
MSG_MAGIC_NAME_77	Удар гоблина
MSG_MAGIC_NAME_78	Самоликвидация
MSG_MAGIC_NAME_79	Удар окаменения
MSG_MAGIC_NAME_80	Взрыв разума
MSG_MAGIC_NAME_81	Пинок чокобо
MSG_MAGIC_NAME_82	Алмазная пыль
MSG_MAGIC_NAME_83	Молния правосудия
MSG_MAGIC_NAME_84	Адское пламя
MSG_MAGIC_NAME_85	Гнев Геи
MSG_MAGIC_NAME_86	Туманное дыхание
MSG_MAGIC_NAME_87	Шепот ветра
MSG_MAGIC_NAME_88	Зантэцукен
MSG_MAGIC_NAME_89	Цунами
MSG_MAGIC_NAME_90	Асура
MSG_MAGIC_NAME_91	Мегавсполох
MSG_MON_ATK_01	Взгляд
MSG_MON_ATK_02	Бластер
MSG_MON_ATK_03	Шлепок
MSG_MON_ATK_04	Ядовитая пыль
MSG_MON_ATK_05	Грозный взгляд
MSG_MON_ATK_06	Обольщение
MSG_MON_ATK_07	Язык
MSG_MON_ATK_08	Проклятие
MSG_MON_ATK_09	Излучение
MSG_MON_ATK_10	Рок
MSG_MON_ATK_11	Удар клювом
MSG_MON_ATK_12	Каменный взгляд
MSG_MON_ATK_13	Взрыв разума
MSG_MON_ATK_14	Объятья
MSG_MON_ATK_15	Зловонное дыхание
MSG_MON_ATK_16	Порча
MSG_MON_ATK_17	Удушение
MSG_MON_ATK_18	Вихрь
MSG_MON_ATK_19	Искажение времени
MSG_MON_ATK_20	Ледяной туман
MSG_MON_ATK_21	Взрыв
MSG_MON_ATK_22	Проклятая элегия
MSG_MON_ATK_23	Морозные оковы
MSG_MON_ATK_24	Усыпляющий газ
MSG_MON_ATK_25	Ядовитый газ
MSG_MON_ATK_26	Пробивающий лазер
MSG_MON_ATK_27	Черный клык
MSG_MON_ATK_28	Черная дыра
MSG_MON_ATK_29	Пляска
MSG_MON_ATK_30	Девятое измерение
MSG_MON_ATK_31	Водоворот
MSG_MON_ATK_32	Магнитное излучение
MSG_MON_ATK_33	Цепная реакция
MSG_MON_ATK_34	Вылупление
MSG_MON_ATK_35	Восстановление
MSG_MON_ATK_36	Поглощение
MSG_MON_ATK_37	Панацея
