MSG_CHAR_NAME_01	เซซิล
MSG_CHAR_NAME_02	ไคน์
MSG_CHAR_NAME_03	โรซ่า
MSG_CHAR_NAME_04	รีเดีย
MSG_CHAR_NAME_05	ซิด
MSG_CHAR_NAME_06	เทลล่าห์
MSG_CHAR_NAME_07	เอ็ดเวิร์ด
MSG_CHAR_NAME_08	หยาง
MSG_CHAR_NAME_09	ปาลอม
MSG_CHAR_NAME_10	โปรอม
MSG_CHAR_NAME_11	เอดจ์
MSG_CHAR_NAME_12	ฟูโซยา
MSG_CHAR_NAME_13	กอลเบซ
MSG_JOB_NAME_01	อัศวินแห่งความมืด
MSG_JOB_NAME_02	ทหารม้า
MSG_JOB_NAME_03	นักเวทขาว
MSG_JOB_NAME_04	ผู้เรียกอสูร
MSG_JOB_NAME_05	วิศวกร
MSG_JOB_NAME_06	นักปราชญ์
MSG_JOB_NAME_07	เจ้าชาย
MSG_JOB_NAME_08	นักบวช
MSG_JOB_NAME_09	นักเวทดำ
MSG_JOB_NAME_10	นักเวทขาว
MSG_JOB_NAME_11	นินจา
MSG_JOB_NAME_12	ชาวจันทรา
MSG_JOB_NAME_13	อัศวินศักดิ์สิทธิ์
MSG_MAGIC_NAME_01	<IC_WMGC>ค้าง
MSG_MAGIC_NAME_02	<IC_WMGC>เป็นใบ้
MSG_MAGIC_NAME_03	<IC_WMGC>สับสน
MSG_MAGIC_NAME_04	<IC_WMGC>กะพริบตา
MSG_MAGIC_NAME_05	<IC_WMGC>ปกป้อง
MSG_MAGIC_NAME_06	<IC_WMGC>เกราะ
MSG_MAGIC_NAME_07	<IC_WMGC>ช้า
MSG_MAGIC_NAME_08	<IC_WMGC>เร่งรีบ
MSG_MAGIC_NAME_09	<IC_WMGC>บ้าระห่ำ
MSG_MAGIC_NAME_10	<IC_WMGC>สะท้อน
MSG_MAGIC_NAME_11	<IC_WMGC>ศักดิ์สิทธิ์
MSG_MAGIC_NAME_12	<IC_WMGC>ขับไล่
MSG_MAGIC_NAME_13	<IC_WMGC>สแกน
