MSG_CHAR_NAME_01	塞西尔
MSG_CHAR_NAME_02	凯因
MSG_CHAR_NAME_03	罗莎
MSG_CHAR_NAME_04	莉迪亚
MSG_CHAR_NAME_05	西德
MSG_CHAR_NAME_06	泰拉
MSG_CHAR_NAME_07	吉尔伯特
MSG_CHAR_NAME_08	杨
MSG_CHAR_NAME_09	帕罗姆
MSG_CHAR_NAME_10	普罗姆
MSG_CHAR_NAME_11	艾吉
MSG_CHAR_NAME_12	福索雅
MSG_CHAR_NAME_13	高贝扎
MSG_JOB_NAME_01	暗黑骑士
MSG_JOB_NAME_02	龙骑士
MSG_JOB_NAME_03	白魔法师
MSG_JOB_NAME_04	召唤师
MSG_JOB_NAME_05	技师
MSG_JOB_NAME_06	贤者
MSG_JOB_NAME_07	王族
MSG_JOB_NAME_08	武僧
MSG_JOB_NAME_09	黑魔法师
MSG_JOB_NAME_10	白魔法师
MSG_JOB_NAME_11	忍者
MSG_JOB_NAME_12	月之民
MSG_JOB_NAME_13	圣骑士
MSG_MAGIC_NAME_01	<IC_WMGC>停顿
MSG_MAGIC_NAME_02	<IC_WMGC>沉默
MSG_MAGIC_NAME_03	<IC_WMGC>混乱
MSG_MAGIC_NAME_04	<IC_WMGC>闪躲
MSG_MAGIC_NAME_05	<IC_WMGC>护盾
MSG_MAGIC_NAME_06	<IC_WMGC>魔盾
MSG_MAGIC_NAME_07	<IC_WMGC>减速
MSG_MAGIC_NAME_08	<IC_WMGC>加速
MSG_MAGIC_NAME_09	<IC_WMGC>狂暴
MSG_MAGIC_NAME_10	<IC_WMGC>反射
MSG_MAGIC_NAME_11	<IC_WMGC>神圣
MSG_MAGIC_NAME_12	<IC_WMGC>驱魔
MSG_MAGIC_NAME_13	<IC_WMGC>侦测
MSG_MAGIC_NAME_14	<IC_WMGC>治疗
MSG_MAGIC_NAME_15	<IC_WMGC>救疗
MSG_MAGIC_NAME_16	<IC_WMGC>康疗
MSG_MAGIC_NAME_17	<IC_WMGC>愈疗
MSG_MAGIC_NAME_18	<IC_WMGC>康复
MSG_MAGIC_NAME_19	<IC_WMGC>复活
MSG_MAGIC_NAME_20	<IC_WMGC>完全复活
MSG_MAGIC_NAME_21	<IC_WMGC>缩小
MSG_MAGIC_NAME_22	<IC_WMGC>传送
MSG_MAGIC_NAME_23	<IC_WMGC>全景
MSG_MAGIC_NAME_24	<IC_WMGC>浮空
MSG_MAGIC_NAME_25	<IC_BMGC>蛙变
