MSG_CHAR_NAME_01	塞西爾
MSG_CHAR_NAME_02	凱因
MSG_CHAR_NAME_03	羅莎
MSG_CHAR_NAME_04	莉迪亞
MSG_CHAR_NAME_05	希德
MSG_CHAR_NAME_06	泰拉
MSG_CHAR_NAME_07	吉爾伯特
MSG_CHAR_NAME_08	楊
MSG_CHAR_NAME_09	帕羅姆
MSG_CHAR_NAME_10	普羅姆
MSG_CHAR_NAME_11	艾吉
MSG_CHAR_NAME_12	福索雅
MSG_CHAR_NAME_13	高貝扎
MSG_JOB_NAME_01	暗黑騎士
MSG_JOB_NAME_02	龍騎士
MSG_JOB_NAME_03	白魔法師
MSG_JOB_NAME_04	召喚士
MSG_JOB_NAME_05	技師
MSG_JOB_NAME_06	賢者
MSG_JOB_NAME_07	王族
MSG_JOB_NAME_08	武僧
MSG_JOB_NAME_09	黑魔法師
MSG_JOB_NAME_10	白魔法師
MSG_JOB_NAME_11	忍者
MSG_JOB_NAME_12	月之民
MSG_JOB_NAME_13	聖騎士
MSG_MAGIC_NAME_01	<IC_WMGC>停頓
MSG_MAGIC_NAME_02	<IC_WMGC>沉默
MSG_MAGIC_NAME_03	<IC_WMGC>混亂
MSG_MAGIC_NAME_04	<IC_WMGC>閃躲
MSG_MAGIC_NAME_05	<IC_WMGC>物防護
MSG_MAGIC_NAME_06	<IC_WMGC>魔防護
MSG_MAGIC_NAME_07	<IC_WMGC>緩慢
MSG_MAGIC_NAME_08	<IC_WMGC>急速
MSG_MAGIC_NAME_09	<IC_WMGC>狂暴
MSG_MAGIC_NAME_10	<IC_WMGC>反射
MSG_MAGIC_NAME_11	<IC_WMGC>神聖
MSG_MAGIC_NAME_12	<IC_WMGC>驅魔
MSG_MAGIC_NAME_13	<IC_WMGC>窺伺探測
MSG_MAGIC_NAME_14	<IC_WMGC>療傷
MSG_MAGIC_NAME_15	<IC_WMGC>中療傷
MSG_MAGIC_NAME_16	<IC_WMGC>齊療傷
MSG_MAGIC_NAME_17	<IC_WMGC>超療傷
MSG_MAGIC_NAME_18	<IC_WMGC>復原
MSG_MAGIC_NAME_19	<IC_WMGC>復活
MSG_MAGIC_NAME_20	<IC_WMGC>大復活
MSG_MAGIC_NAME_21	<IC_WMGC>縮小
MSG_MAGIC_NAME_22	<IC_WMGC>傳送
MSG_MAGIC_NAME_23	<IC_WMGC>全景
MSG_MAGIC_NAME_24	<IC_WMGC>浮空
MSG_MAGIC_NAME_25	<IC_BMGC>蛙變
MSG_MAGIC_NAME_26	<IC_BMGC>豬變
MSG_MAGIC_NAME_27	<IC_BMGC>異次元
MSG_MAGIC_NAME_28	<IC_BMGC>施毒
MSG_MAGIC_NAME_29	<IC_BMGC>火焰
MSG_MAGIC_NAME_30	<IC_BMGC>中火焰
MSG_MAGIC_NAME_31	<IC_BMGC>大火焰
MSG_MAGIC_NAME_32	<IC_BMGC>暴雪
MSG_MAGIC_NAME_33	<IC_BMGC>中暴雪
MSG_MAGIC_NAME_34	<IC_BMGC>大暴雪
