id,sort_id,type_id,equip_job_group_id,parts_group_id,defense,ability_defense,weight,evasion_rate,ability_evasion_rate,ability_disturbed_rate,destroy_rate,magnetic_force,invalid_reflection,trigger_ability_id,wear_function_group_id,wear_condition_group_id,resistance_attribute,resistance_condition,resistance_species,strength,vitality,agility,intelligence,spirit,magic,max_hp_up,max_mp_up,battle_effect_asset_id,guard_icon,se_asset_id,buy,sell,sales_not_possible,process_prog
1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
3,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
4,4,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
5,101,1,12,2,1,0,2,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,None
6,102,1,1,2,1,0,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,0,None
7,103,1,1,2,2,0,2,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,200,0,None
8,104,1,5,2,2,1,2,24,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,700,350,0,None
9,105,1,12,2,3,2,2,26,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,None
10,106,1,12,2,3,2,2,28,2,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,625,0,None
11,107,1,12,2,3,2,2,30,2,0,0,1,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,0,10000,5000,0,None
12,108,1,12,2,4,2,2,32,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,7500,0,None
13,109,1,12,2,4,5,2,34,4,0,0,1,0,0,0,0,0,82,1,0,0,0,3,0,0,0,0,0,0,0,20000,10000,0,None
14,110,1,12,2,5,3,2,36,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,None
15,111,1,12,2,6,3,2,38,5,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
16,112,1,5,2,7,4,2,40,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,50000,25000,0,None
18,201,1,20,4,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,None
19,202,1,20,4,1,1,2,10,1,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,450,225,0,None
20,203,1,20,4,2,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,165,0,None
21,204,1,12,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,75,0,None
22,206,1,9,4,3,5,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,700,350,0,None
23,205,1,4,4,3,1,2,12,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1100,550,0,None
24,207,1,1,4,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,180,0,None
25,208,1,1,4,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,320,0,None
26,210,1,9,4,5,7,2,8,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,2000,1000,0,None
27,209,1,4,4,5,1,2,14,1,0,0,0,0,0,0,0,0,7,0,3,3,3,0,0,0,0,0,0,0,0,2000,1000,0,None
28,211,1,1,4,6,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,490,0,None
29,212,1,5,4,7,2,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,4000,2000,0,None
30,213,1,25,4,7,10,2,10,9,0,0,1,0,0,0,0,44,0,6,0,0,0,10,0,0,0,0,0,0,0,20000,10000,0,None
31,214,1,12,4,8,2,2,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3000,1500,0,None
32,215,1,12,4,9,2,2,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,5000,0,None
33,216,1,4,4,9,12,2,12,12,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,50000,25000,0,None
34,217,1,14,4,10,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,None
